product,product_category,number_of_transactions
Almond Croissant,Bakery,347
Cappuccino,Coffee,1290
Carmel syrup,Flavours,561
Chocolate Chip Biscotti,Bakery,352
Chocolate Croissant,Bakery,636
Chocolate syrup,Flavours,568
Cranberry Scone,Bakery,350
Croissant,Bakery,355
Dark chocolate,Drinking Chocolate,947
Dark chocolate,Packaged Chocolate,22
Espresso shot,Coffee,628
Ginger Biscotti,Bakery,314
Ginger Scone,Bakery,417
Hazelnut Biscotti,Bakery,338
Hazelnut syrup,Flavours,512
Jumbo Savory Scone,Bakery,357
Latte,Coffee,1256
Oatmeal Scone,Bakery,334
Sugar Free Vanilla syrup,Flavours,605
